stock_code,con_date,con_eps_roll
600690,2016-04-15,0.9268
600690,2016-04-18,0.9327
600690,2016-04-19,0.9331
600690,2016-04-20,0.9215
600690,2016-04-21,0.923
600690,2016-04-22,0.9234
600690,2016-04-25,0.9246
600690,2016-04-26,0.925
600690,2016-04-27,0.9254
600690,2016-04-28,0.9258
600690,2016-04-29,0.908
600690,2016-05-03,0.9021
600690,2016-05-04,0.8531
600690,2016-05-05,0.8542
600690,2016-05-06,0.8545
600690,2016-05-09,0.8555
600690,2016-05-10,0.8517
600690,2016-05-11,0.852
600690,2016-05-12,0.8523
600690,2016-05-13,0.8526
600690,2016-05-16,0.8542
600690,2016-05-17,0.8553
600690,2016-05-18,0.8556
600690,2016-05-19,0.8559
600690,2016-05-20,0.8562
600690,2016-05-23,0.8571
600690,2016-05-24,0.8574
600690,2016-05-25,0.8577
600690,2016-05-26,0.8576
600690,2016-05-27,0.8579
600690,2016-05-30,0.8577
600690,2016-05-31,0.858
600690,2016-06-01,0.8583
600690,2016-06-02,0.8586
600690,2016-06-03,0.8567
600690,2016-06-06,0.8601
600690,2016-06-07,0.8604
600690,2016-06-08,0.8607
600690,2016-06-13,0.863
600690,2016-06-14,0.8693
600690,2016-06-15,0.8696
600690,2016-06-16,0.8699
600690,2016-06-17,0.8702
600690,2016-06-20,0.8676
600690,2016-06-21,0.8679
600690,2016-06-22,0.8682
600690,2016-06-23,0.8685
600690,2016-06-24,0.8688
600690,2016-06-27,0.8697
600690,2016-06-28,0.87
600690,2016-06-29,0.8703
600690,2016-06-30,0.857
600690,2016-07-01,0.8946
600690,2016-07-04,0.8958
